;tag;key;X
0;highway;motorway;100
1;highway;trunk;98
2;highway;primary;95
3;highway;secondary;93
4;highway;tertiary;85
5;railway;rail;94
6;railway;tram;84
7;railway;monorail;84
8;amenity;school;85
9;building;train_station;85
10;amenity;university;85
11;building;construction;85
12;amenity;college;85
13;amenity;bar;85
14;amenity;cafe;85
15;amenity;fast_food;85
16;amenity;restaurant;85
17;amenity;pub;85
18;amenity;cinema;87
19;amenity;nightclub;87
20;amenity;theatre;87
21;amenity;marketplace;87
22;amenity;bbq;87
23;shop;general;84
24;shop;department_store;84
25;shop;mall;84
26;shop;supermatket;84
27;landuse;industriall;88
28;landuse;retail;88
29;tourism;museum;85
30;tourism;hostel;85
31;tourism;hotel;85
32;tourism;picnic_site;85
33;tourism;theme_park;85
34;tourism;zoo;85
35;sport;soccer;87
36;sport;tennis;87
37;sport;volleyball;87
38;sport;ice_hockey;87
39;leisure;sports_centre;85
40;leisure;water_park;85
41;highway;construction;85
42;landuse;construction;85
43;highway;unclassified;70
44;construction:program;mystreet2017;85
